Month, Year, Grain Height, Number of Deer, Number of Wolves, Temperature, Precipitation
0,2022,4.2,2,1,60,7
1,2022,12.11,2,2,35.88,11.5
2,2022,14.9,2,2,48.69,14.03
3,2022,12.91,2,2,66.88,12.72
4,2022,10.91,2,2,71.15,12.83
5,2022,8.91,2,2,85.78,9.54
6,2022,6.91,2,2,72.8,6.88
7,2022,4.91,1,2,78.35,2.81
8,2022,3.96,1,1,61.26,0
9,2022,6.18,1,1,46.65,0.66
10,2022,10.85,2,1,38.8,1.42
11,2022,12.05,3,2,50.45,5.23
0,2023,15.65,3,2,33.06,6.57
1,2023,22.84,3,3,36.04,10.75
2,2023,20.84,2,3,55.46,13.08
3,2023,18.85,1,2,67.21,13.22
4,2023,17.86,1,1,67.47,11.89
5,2023,16.86,2,1,78.33,7.96
6,2023,14.86,3,1,70.46,5.88
7,2023,11.86,4,2,79.81,3.97
8,2023,7.87,3,2,65.57,0.41
9,2023,4.91,2,3,62.34,2.11
10,2023,3.85,0,2,54.98,4.46
11,2023,12.06,0,0,41.47,4.02
0,2024,23.32,2,0,39.92,7.49
1,2024,23.48,4,1,53.1,10.08
2,2024,19.64,5,1,60.42,14.17
3,2024,14.64,6,2,75.11,14.79
4,2024,8.64,5,2,76.37,10.81
5,2024,3.64,4,3,74.64,7.74
6,2024,0,0,3,86.12,3.54
7,2024,0,0,0,71.66,1.13
8,2024,0,0,0,68.72,0
9,2024,5.63,0,0,45,2.88
10,2024,11.69,2,0,41.38,1.85
11,2024,19.48,4,1,42.44,6.21
0,2025,22.37,5,1,47.43,9.46
1,2025,26.18,6,2,45.56,10.06
2,2025,20.41,6,2,59.7,12.67
3,2025,14.44,6,3,64.34,14.59
4,2025,8.44,4,3,79.03,9.68
5,2025,4.44,2,4,81.3,8.09
6,2025,2.44,0,3,84.02,5.88
7,2025,2.44,0,0,75.59,2.2
8,2025,2.6,2,0,58.21,0.1
9,2025,1.75,2,1,53.33,2.42
10,2025,5.93,0,1,46.2,4.72
11,2025,12.55,1,0,45.71,4.83
0,2026,19.93,3,0,34.06,9.18
1,2026,25.58,5,1,45.7,9.5
2,2026,20.91,6,1,58.82,12.81
3,2026,15.27,7,2,58.13,14.59
4,2026,8.28,6,2,66.97,12.86
5,2026,2.28,5,3,83.18,7.77
6,2026,0,1,3,77.85,3.73
7,2026,0,0,2,83.47,3.49
8,2026,0.25,0,0,58.24,2.71
9,2026,0.32,0,0,61.26,1.53
10,2026,6.11,0,0,39.68,1.47
11,2026,12.01,2,0,47.03,5.35
0,2027,18,4,0,33.79,8.57
1,2027,17.96,6,1,50.5,10.87
2,2027,15.65,6,1,50.42,13.07
3,2027,9.65,6,2,68.82,13.82
4,2027,3.65,5,2,78.58,11.14
5,2027,0,2,3,71.78,8.02
6,2027,0,0,2,86.01,3.59
7,2027,0,0,0,74.48,3.41
8,2027,0.02,0,0,63.7,0
9,2027,0.04,0,0,63.81,2.89
10,2027,4.09,0,0,46.85,2.14
11,2027,13.38,2,0,40.12,4.95
