Threads,Trials,Probability,MT/sec
1,65536,28.95%,5.96
1,131072,29.08%,6.24
1,262144,29.21%,6.1
1,524288,29.20%,6.1
1,1048576,29.09%,6.03
2,65536,29.25%,13.11
2,131072,29.20%,13.11
2,262144,29.12%,12.48
2,524288,29.06%,12.19
2,1048576,29.12%,12.05
4,65536,28.95%,32.77
4,131072,29.01%,26.22
4,262144,29.09%,26.21
4,524288,28.98%,24.97
4,1048576,28.98%,24.39
6,65536,29.44%,65.54
6,131072,29.21%,43.69
6,262144,29.17%,37.45
6,524288,29.18%,37.45
6,1048576,29.18%,36.16
8,65536,29.26%,65.54
8,131072,29.20%,43.69
8,262144,29.24%,43.69
8,524288,29.13%,47.66
8,1048576,29.12%,43.69
10,65536,28.91%,65.54
10,131072,29.16%,65.54
10,262144,29.07%,52.43
10,524288,29.17%,52.43
10,1048576,29.16%,55.19
12,65536,29.02%,65.54
12,131072,29.17%,65.54
12,262144,29.11%,65.54
12,524288,29.08%,65.54
12,1048576,29.04%,61.68
