        1024	N     120.77	S     987.88	(  8.18)	N     121.90	S     978.21	(  8.02)
        2048	N     121.26	S    1022.80	(  8.43)	N     122.31	S    1018.07	(  8.32)
        4096	N     120.98	S     982.15	(  8.12)	N     122.75	S    1028.78	(  8.38)
        8192	N     120.96	S     960.48	(  7.94)	N     123.15	S    1003.89	(  8.15)
       16384	N     120.97	S     981.65	(  8.12)	N     123.25	S    1012.33	(  8.21)
       32768	N     120.83	S     825.58	(  6.83)	N     123.25	S     999.44	(  8.11)
       65536	N     120.87	S     777.29	(  6.43)	N     123.20	S     995.20	(  8.08)
      131072	N     120.29	S     778.73	(  6.47)	N     122.73	S     997.90	(  8.13)
      262144	N     119.82	S     768.98	(  6.42)	N     224.96	S    1804.35	(  8.02)
      524288	N     218.89	S    1287.32	(  5.88)	N     224.29	S    1780.30	(  7.94)
     1048576	N     216.53	S     580.41	(  2.68)	N     223.38	S    1696.05	(  7.59)
     2097152	N     214.68	S     719.44	(  3.35)	N     220.68	S    1135.90	(  5.15)
     4194304	N     214.76	S     664.31	(  3.09)	N     220.79	S    1094.94	(  4.96)
     8388608	N     215.27	S     736.71	(  3.42)	N     220.68	S    1107.54	(  5.02)
